code,seccion,division,grupo,titulo_actividad,titulo_seccion,titulo_division,titulo_grupo,macro_sector
Clase,,,Grupo,Descripción,,,Descripción,
0111,A,01,011,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas transitorios,
0112,A,01,011,Cultivo de arroz,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas transitorios,
0113,A,01,011,"Cultivo de hortalizas, raíces y tubérculos","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas transitorios,
0114,A,01,011,Cultivo de tabaco,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas transitorios,
0115,A,01,011,Cultivo de plantas textiles,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas transitorios,
0119,A,01,011,Otros cultivos transitorios n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas transitorios,
0121,A,01,012,Cultivo de frutas tropicales y subtropicales,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0122,A,01,012,Cultivo de plátano y banano,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0123,A,01,012,Cultivo de café,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0124,A,01,012,Cultivo de caña de azúcar,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0125,A,01,012,Cultivo de flor de corte,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0126,A,01,012,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0127,A,01,012,Cultivo de plantas con las que se preparan bebidas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0128,A,01,012,Cultivo de especias y de plantas aromáticas y medicinales,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0129,A,01,012,Otros cultivos permanentes n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Cultivos agrícolas permanentes,
0130,A,01,013,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)","AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas","Propagación de plantas (actividades de los viveros, excepto viveros forestales)",
0141,A,01,014,Cría de ganado bovino y bufalino,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Ganadería,
0142,A,01,014,Cría de caballos y otros equinos,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Ganadería,
0143,A,01,014,Cría de ovejas y cabras,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Ganadería,
0144,A,01,014,Cría de ganado porcino,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Ganadería,
0145,A,01,014,Cría de aves de corral,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Ganadería,
0149,A,01,014,Cría de otros animales n.c.p.,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Ganadería,
0150,A,01,015,Explotación mixta (agrícola y pecuaria),"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Explotación mixta (agrícola y pecuaria),
0161,A,01,016,Actividades de apoyo a la agricultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha",
0162,A,01,016,Actividades de apoyo a la ganadería,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha",
0163,A,01,016,Actividades posteriores a la cosecha,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha",
0164,A,01,016,Tratamiento de semillas para propagación,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas","Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha",
0170,A,01,017,Caza ordinaria y mediante trampas y actividades de servicios conexas,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","Agricultura, ganadería, caza y actividades de servicios conexas",Caza ordinaria y mediante trampas y actividades de servicios conexas,
0210,A,02,021,Silvicultura y otras actividades forestales,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Silvicultura y extracción de madera,Silvicultura y otras actividades forestales,
0220,A,02,022,Extracción de madera,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Silvicultura y extracción de madera,Extracción de madera,
0230,A,02,023,Recolección de productos forestales diferentes a la madera,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Silvicultura y extracción de madera,Recolección de productos forestales diferentes a la madera,
0240,A,02,024,Servicios de apoyo a la silvicultura,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Silvicultura y extracción de madera,Servicios de apoyo a la silvicultura,
0311,A,03,031,Pesca marítima,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Pesca y acuicultura,Pesca,
0312,A,03,031,Pesca de agua dulce,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Pesca y acuicultura,Pesca,
0321,A,03,032,Acuicultura marítima,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Pesca y acuicultura,Acuicultura,
0322,A,03,032,Acuicultura de agua dulce,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",Pesca y acuicultura,Acuicultura,
0510,B,05,051,Extracción de hulla (carbón de piedra),EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de carbón de piedra y lignito,Extracción de hulla (carbón de piedra),
0520,B,05,052,Extracción de carbón lignito,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de carbón de piedra y lignito,Extracción de carbón lignito,
0610,B,06,061,Extracción de petróleo crudo,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de petróleo crudo y gas natural,Extracción de petróleo crudo,
0620,B,06,062,Extracción de gas natural,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de petróleo crudo y gas natural,Extracción de gas natural,
0710,B,07,071,Extracción de minerales de hierro,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de minerales metalíferos,Extracción de minerales de hierro,
0721,B,07,072,Extracción de minerales de uranio y de torio,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos,
0722,B,07,072,Extracción de oro y otros metales preciosos,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos,
0723,B,07,072,Extracción de minerales de níquel,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos,
0729,B,07,072,Extracción de otros minerales metalíferos no ferrosos n.c.p.,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de minerales metalíferos,Extracción de minerales metalíferos no ferrosos,
0811,B,08,081,"Extracción de piedra, arena, arcillas comunes, yeso y anhidrita",EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de otras minas y canteras,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares",
0812,B,08,081,"Extracción de arcillas de uso industrial, caliza, caolín y bentonitas",EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de otras minas y canteras,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares",
0820,B,08,082,"Extracción de esmeraldas, piedras preciosas y semipreciosas",EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de otras minas y canteras,"Extracción de esmeraldas, piedras preciosas y semipreciosas",
0891,B,08,089,Extracción de minerales para la fabricación de abonos y productos químicos,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.,
0892,B,08,089,Extracción de halita (sal),EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.,
0899,B,08,089,Extracción de otros minerales no metálicos n.c.p.,EXPLOTACIÓN DE MINAS Y CANTERAS,Extracción de otras minas y canteras,Extracción de otros minerales no metálicos n.c.p.,
0910,B,09,091,Actividades de apoyo para la extracción de petróleo y de gas natural,EXPLOTACIÓN DE MINAS Y CANTERAS,Actividades de servicios de apoyo para la explotación de minas y canteras,Actividades de apoyo para la extracción de petróleo y de gas natural,
0990,B,09,099,Actividades de apoyo para otras actividades de explotación de minas y canteras,EXPLOTACIÓN DE MINAS Y CANTERAS,Actividades de servicios de apoyo para la explotación de minas y canteras,Actividades de apoyo para otras actividades de explotación de minas y canteras,
1011,C,10,101,Procesamiento y conservación de carne y productos cárnicos,INDUSTRIAS MANUFACTURERAS,Elaboración de productos alimenticios,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos",
1012,C,10,101,"Procesamiento y conservación de pescados, crustáceos y moluscos",INDUSTRIAS MANUFACTURERAS,Elaboración de productos alimenticios,"Procesamiento y conservación de carne, pescado, crustáceos y moluscos",
1020,C,10,102,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",INDUSTRIAS MANUFACTURERAS,Elaboración de productos alimenticios,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",
