clusterID,ciiuID,actividadClusterPADREID,actividadClusterID,actividadClusterORDEN,actividadClusterCODIGO,actividadClusterTITULO,actividadClusterDESCRIPCION,actividadClusterENLACE,actividadClusterEMAIL,actividadClusterIMAGEN,actividadClusterPDF,actividadClusterFCHCREADO,actividadClusterUSRCREA,actividadClusterFCHMODIFICADO,actividadClusterUSRMODIFICA,actividadClusterFCHDESACTIVADO,actividadClusterUSRDESACTIVA,actividadClusterFCHBORRADO,actividadClusterUSRBORRA,actividadClusterESTADO
1,11,0,1,99,674dd8f860406,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
2,10,0,2,99,674dd8f8604f9,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
3,5,0,3,99,674dd8f8606ed,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
4,16,0,4,99,674dd8f8607a9,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
5,15,0,5,99,674dd8f860869,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
6,12,0,6,99,674dd8f860925,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,483,0,36,99,674dd8f861f1d,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,476,0,34,99,674dd8f861dab,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,472,0,32,99,674dd8f861c3a,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,474,0,31,99,674dd8f861b81,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,498,0,40,99,674dd8f862272,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,470,0,30,99,674dd8f861ac8,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
7,473,0,33,99,674dd8f861cf3,,,,,,,2024-12-02 15:58:27 UTC,,2024-12-02 15:58:27 UTC,,,,,,ACTIVO
